location_id,sku,current_stock_units,reorder_point,lead_time_days
FI_HEL,PEU-WIPER-650,254,40,21
SE_STO,PEU-WF-WINTER-5L,178,80,14
ES_MAD,PEU-BATT-70AH,165,10,10
ES_MAD,PEU-ANTIFREEZE-G12,300,50,14
ES_MAD,PEU-AIR-FILTER,391,65,10
ES_MAD,PEU-ADBLUE-10L,373,60,7
ES_MAD,PEU-AC-REFILL,217,15,14
EE_TLL,PEU-WIPER-650,262,40,21
EE_TLL,PEU-WINTER-TIRE-205,132,22,21
EE_TLL,PEU-WF-WINTER-5L,192,80,14
EE_TLL,PEU-SUMMER-TIRE-205,215,20,21
EE_TLL,PEU-SPARK-PLUG,271,40,14
EE_TLL,PEU-RUBBER-MATS,182,18,21
EE_TLL,PEU-OIL-FILTER,471,85,7
EE_TLL,PEU-OIL-5W30-5L,403,70,7
EE_TLL,PEU-HEADLIGHT-H7,293,50,7
EE_TLL,PEU-COOLANT-PREMIX,209,30,14
EE_TLL,PEU-CABIN-CARBON,332,45,10
EE_TLL,PEU-BRAKE-PADS-F,268,35,14
EE_TLL,PEU-BRAKE-FLUID-DOT4,266,40,10
EE_TLL,PEU-BATT-70AH,143,10,10
EE_TLL,PEU-ANTIFREEZE-G12,282,50,14
EE_TLL,PEU-AIR-FILTER,388,65,10
EE_TLL,PEU-ADBLUE-10L,367,60,7
EE_TLL,PEU-AC-REFILL,216,15,14
ES_MAD,PEU-BRAKE-FLUID-DOT4,270,40,10
DK_CPH,PEU-WIPER-650,278,40,21
ES_MAD,PEU-BRAKE-PADS-F,271,35,14
ES_MAD,PEU-COOLANT-PREMIX,227,30,14
FI_HEL,PEU-SPARK-PLUG,268,40,14
FI_HEL,PEU-RUBBER-MATS,178,18,21
FI_HEL,PEU-OIL-FILTER,463,85,7
FI_HEL,PEU-OIL-5W30-5L,397,70,7
FI_HEL,PEU-HEADLIGHT-H7,287,50,7
FI_HEL,PEU-COOLANT-PREMIX,206,30,14
FI_HEL,PEU-CABIN-CARBON,330,45,10
FI_HEL,PEU-BRAKE-PADS-F,266,35,14
FI_HEL,PEU-BRAKE-FLUID-DOT4,266,40,10
FI_HEL,PEU-BATT-70AH,139,10,10
FI_HEL,PEU-ANTIFREEZE-G12,276,50,14
FI_HEL,PEU-AIR-FILTER,386,65,10
FI_HEL,PEU-ADBLUE-10L,368,60,7
FI_HEL,PEU-AC-REFILL,210,15,14
ES_MAD,PEU-WIPER-650,283,40,21
ES_MAD,PEU-WINTER-TIRE-205,180,22,21
ES_MAD,PEU-WF-WINTER-5L,399,80,14
ES_MAD,PEU-SUMMER-TIRE-205,218,20,21
ES_MAD,PEU-SPARK-PLUG,273,40,14
ES_MAD,PEU-RUBBER-MATS,187,18,21
ES_MAD,PEU-OIL-FILTER,478,85,7
ES_MAD,PEU-OIL-5W30-5L,407,70,7
ES_MAD,PEU-HEADLIGHT-H7,297,50,7
ES_MAD,PEU-CABIN-CARBON,334,45,10
FI_HEL,PEU-SUMMER-TIRE-205,216,20,21
DK_CPH,PEU-WINTER-TIRE-205,173,22,21
DK_CPH,PEU-SUMMER-TIRE-205,216,20,21
DE_BER,PEU-BATT-70AH,163,10,10
DE_BER,PEU-ANTIFREEZE-G12,298,50,14
DE_BER,PEU-AIR-FILTER,388,65,10
DE_BER,PEU-ADBLUE-10L,368,60,7
DE_BER,PEU-AC-REFILL,215,15,14
CZ_PRG,PEU-WIPER-650,270,40,21
CZ_PRG,PEU-WINTER-TIRE-205,165,22,21
CZ_PRG,PEU-WF-WINTER-5L,322,80,14
CZ_PRG,PEU-SUMMER-TIRE-205,218,20,21
CZ_PRG,PEU-SPARK-PLUG,277,40,14
CZ_PRG,PEU-RUBBER-MATS,189,18,21
CZ_PRG,PEU-OIL-FILTER,479,85,7
CZ_PRG,PEU-OIL-5W30-5L,410,70,7
CZ_PRG,PEU-HEADLIGHT-H7,299,50,7
CZ_PRG,PEU-COOLANT-PREMIX,228,30,14
CZ_PRG,PEU-CABIN-CARBON,336,45,10
CZ_PRG,PEU-BRAKE-PADS-F,273,35,14
CZ_PRG,PEU-BRAKE-FLUID-DOT4,271,40,10
CZ_PRG,PEU-BATT-70AH,164,10,10
CZ_PRG,PEU-ANTIFREEZE-G12,302,50,14
CZ_PRG,PEU-AIR-FILTER,393,65,10
CZ_PRG,PEU-ADBLUE-10L,376,60,7
CZ_PRG,PEU-AC-REFILL,214,15,14
DE_BER,PEU-BRAKE-FLUID-DOT4,271,40,10
DK_CPH,PEU-WF-WINTER-5L,340,80,14
DE_BER,PEU-BRAKE-PADS-F,272,35,14
DE_BER,PEU-COOLANT-PREMIX,224,30,14
DK_CPH,PEU-SPARK-PLUG,274,40,14
DK_CPH,PEU-RUBBER-MATS,185,18,21
DK_CPH,PEU-OIL-FILTER,476,85,7
DK_CPH,PEU-OIL-5W30-5L,405,70,7
DK_CPH,PEU-HEADLIGHT-H7,297,50,7
DK_CPH,PEU-COOLANT-PREMIX,228,30,14
DK_CPH,PEU-CABIN-CARBON,338,45,10
DK_CPH,PEU-BRAKE-PADS-F,271,35,14
DK_CPH,PEU-BRAKE-FLUID-DOT4,270,40,10
DK_CPH,PEU-BATT-70AH,164,10,10
DK_CPH,PEU-ANTIFREEZE-G12,299,50,14
DK_CPH,PEU-AIR-FILTER,390,65,10
DK_CPH,PEU-ADBLUE-10L,373,60,7
DK_CPH,PEU-AC-REFILL,214,15,14
DE_BER,PEU-WIPER-650,265,40,21
DE_BER,PEU-WINTER-TIRE-205,162,22,21
DE_BER,PEU-WF-WINTER-5L,303,80,14
DE_BER,PEU-SUMMER-TIRE-205,218,20,21
DE_BER,PEU-SPARK-PLUG,273,40,14
DE_BER,PEU-RUBBER-MATS,183,18,21
DE_BER,PEU-OIL-FILTER,474,85,7
DE_BER,PEU-OIL-5W30-5L,404,70,7
DE_BER,PEU-HEADLIGHT-H7,295,50,7
DE_BER,PEU-CABIN-CARBON,334,45,10
SE_STO,PEU-WINTER-TIRE-205,127,22,21
