sku,location_id,part_name,category,city,country_code,climate_zone,volatility_score,seasonality_score,weather_sensitivity_score,business_impact_score,peak_month,primary_trigger,primary_trigger_label,primary_trigger_uplift_percent,best_window_days,best_window_wape_percent,sensitivity_segment,profile_summary
PEU-WF-WINTER-5L,DK_CPH,Lichid parbriz iarna -20C 5L,winter_fluids,Copenhagen,,North_Central,0.6631,1.6564,0.9085,74.05,12,weather_spike_flag,weather spike,90.8,7,12.9837,seasonal_outlier,"Copenhagen / Lichid parbriz iarna -20C 5L: peak month 12, trigger weather spike (+90.8%), recommended window 7 zile."
PEU-WF-WINTER-5L,NL_AMS,Lichid parbriz iarna -20C 5L,winter_fluids,Amsterdam,,West,0.6941,1.887,0.6303,68.68,12,cold_snap_flag,cold snap,63.0,7,12.9837,seasonal_outlier,"Amsterdam / Lichid parbriz iarna -20C 5L: peak month 12, trigger cold snap (+63.0%), recommended window 7 zile."
PEU-WF-WINTER-5L,FR_PAR,Lichid parbriz iarna -20C 5L,winter_fluids,Paris,,West,0.6907,1.8736,0.5953,68.29,12,cold_snap_flag,cold snap,59.5,7,12.9837,seasonal_outlier,"Paris / Lichid parbriz iarna -20C 5L: peak month 12, trigger cold snap (+59.5%), recommended window 7 zile."
PEU-WF-WINTER-5L,ES_MAD,Lichid parbriz iarna -20C 5L,winter_fluids,Madrid,,South,0.6933,1.8811,0.6217,67.66,12,cold_snap_flag,cold snap,62.2,7,12.9837,seasonal_outlier,"Madrid / Lichid parbriz iarna -20C 5L: peak month 12, trigger cold snap (+62.2%), recommended window 7 zile."
PEU-WF-WINTER-5L,IT_MIL,Lichid parbriz iarna -20C 5L,winter_fluids,Milan,,South,0.6911,1.8699,0.605,67.45,12,cold_snap_flag,cold snap,60.5,7,12.9837,seasonal_outlier,"Milan / Lichid parbriz iarna -20C 5L: peak month 12, trigger cold snap (+60.5%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,FI_HEL,Anvelopa vara 205/55R16,tires,Helsinki,,Nordic,0.8575,2.6909,0.0,64.02,4,service_campaign_flag,service campaign,63.1,7,15.7962,seasonal_outlier,"Helsinki / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+63.1%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,EE_TLL,Anvelopa vara 205/55R16,tires,Tallinn,,Nordic,0.8627,2.6972,0.0,63.14,4,service_campaign_flag,service campaign,62.9,7,15.7962,seasonal_outlier,"Tallinn / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+62.9%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,SE_STO,Anvelopa vara 205/55R16,tires,Stockholm,,Nordic,0.8521,2.6566,0.0,62.33,4,service_campaign_flag,service campaign,62.9,7,15.7962,seasonal_outlier,"Stockholm / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+62.9%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,FR_PAR,Anvelopa vara 205/55R16,tires,Paris,,West,0.8512,2.6472,0.0,61.3,4,service_campaign_flag,service campaign,62.4,7,15.7962,seasonal_outlier,"Paris / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+62.4%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,DE_BER,Anvelopa vara 205/55R16,tires,Berlin,,Central,0.8576,2.6673,0.0,61.12,4,service_campaign_flag,service campaign,61.9,7,15.7962,seasonal_outlier,"Berlin / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+61.9%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,NL_AMS,Anvelopa vara 205/55R16,tires,Amsterdam,,West,0.8493,2.6295,0.0,60.22,4,service_campaign_flag,service campaign,60.4,7,15.7962,seasonal_outlier,"Amsterdam / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+60.4%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,IT_MIL,Anvelopa vara 205/55R16,tires,Milan,,South,0.8491,2.6529,0.0,60.17,4,service_campaign_flag,service campaign,64.2,7,15.7962,seasonal_outlier,"Milan / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+64.2%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,ES_MAD,Anvelopa vara 205/55R16,tires,Madrid,,South,0.8513,2.6813,0.0,60.13,4,service_campaign_flag,service campaign,62.0,7,15.7962,seasonal_outlier,"Madrid / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+62.0%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,DK_CPH,Anvelopa vara 205/55R16,tires,Copenhagen,,North_Central,0.8535,2.6501,0.0,59.83,4,service_campaign_flag,service campaign,61.4,7,15.7962,seasonal_outlier,"Copenhagen / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+61.4%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,CZ_PRG,Anvelopa vara 205/55R16,tires,Prague,,Central,0.8603,2.6855,0.0,59.73,4,service_campaign_flag,service campaign,66.1,7,15.7962,seasonal_outlier,"Prague / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+66.1%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,PL_WAW,Anvelopa vara 205/55R16,tires,Warsaw,,Central,0.8512,2.6584,0.0,59.35,4,service_campaign_flag,service campaign,61.9,7,15.7962,seasonal_outlier,"Warsaw / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+61.9%), recommended window 7 zile."
PEU-SUMMER-TIRE-205,RO_BUC,Anvelopa vara 205/55R16,tires,Bucharest,,East,0.8566,2.6683,0.0,58.78,4,service_campaign_flag,service campaign,62.2,7,15.7962,seasonal_outlier,"Bucharest / Anvelopa vara 205/55R16: peak month 4, trigger service campaign (+62.2%), recommended window 7 zile."
PEU-WIPER-650,FI_HEL,Stergatoare fata 650mm,wipers,Helsinki,,Nordic,0.3254,0.9643,0.427,70.05,11,weather_spike_flag,weather spike,42.7,7,10.2502,stable_monitor,"Helsinki / Stergatoare fata 650mm: peak month 11, trigger weather spike (+42.7%), recommended window 7 zile."
