sku,part_name,category,location_id,city,country_code,climate_zone,segment_name,current_stock,safety_stock,optimal_stock,lead_time_days,supplier_id,supplier_name,supplier_reliability_score,forecast_demand_7d,forecast_demand_14d,forecast_demand_30d,avg_daily_forecast,max_daily_forecast,days_until_stockout,coverage_ratio_horizon,weather_spike_days_in_horizon,cold_snap_days_in_horizon,heatwave_days_in_horizon,payday_window_days_in_horizon,recommended_action,recommended_qty,priority,explanation
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,FI_HEL,Helsinki,Finland,Nordic,promotion_travel_sensitive,164,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,315.09,621.15,1313.79,43.793,46.43,3.74,0.125,0,30,0,3,order,836,high,Risc stockout: 3.7 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,SE_STO,Stockholm,Sweden,Nordic,promotion_travel_sensitive,178,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,287.9,578.8,1224.55,40.818,43.549,4.36,0.145,0,14,0,3,order,760,high,Risc stockout: 4.4 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,EE_TLL,Tallinn,Estonia,Nordic,promotion_travel_sensitive,192,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,305.4,597.08,1261.6,42.053,45.74,4.57,0.152,0,23,0,6,order,772,high,Risc stockout: 4.6 zile acoperire vs lead time 14 zile.
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,FI_HEL,Helsinki,Finland,Nordic,winter_weather_sensitive,123,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,98.3,196.9,421.46,14.049,15.054,8.76,0.292,0,30,0,3,order,293,high,"Risc stockout: 8.8 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,SE_STO,Stockholm,Sweden,Nordic,winter_weather_sensitive,127,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,96.46,190.84,396.32,13.211,14.693,9.61,0.32,0,14,0,3,order,265,high,"Risc stockout: 9.6 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,EE_TLL,Tallinn,Estonia,Nordic,winter_weather_sensitive,132,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,90.48,177.52,369.04,12.301,14.281,10.73,0.358,0,23,0,6,order,235,high,"Risc stockout: 10.7 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,DE_BER,Berlin,Germany,Central,promotion_travel_sensitive,303,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,213.63,402.35,825.51,27.517,33.152,11.01,0.367,0,0,0,3,order,355,high,Risc stockout: 11.0 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,PL_WAW,Warsaw,Poland,Central,promotion_travel_sensitive,314,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,211.07,403.22,822.44,27.415,33.127,11.45,0.382,0,0,0,6,order,342,high,Risc stockout: 11.5 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,RO_BUC,Bucharest,Romania,East,promotion_travel_sensitive,322,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,199.37,389.7,823.12,27.437,31.283,11.74,0.391,0,0,0,5,order,335,high,Risc stockout: 11.7 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,CZ_PRG,Prague,Czechia,Central,promotion_travel_sensitive,322,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,202.79,387.56,813.46,27.115,32.695,11.88,0.396,0,0,0,6,order,328,high,Risc stockout: 11.9 zile acoperire vs lead time 14 zile.
